Face ID,X,Y,W,H,Gender,Emotion,Race,Age,Frame No,Suspecious
0,620,174,102,102,Woman,happy,white,28,1,0
0,948,50,121,121,Man,sad,middle eastern,26,1,1
1,285,207,203,203,Man,fear,middle eastern,28,2,1
0,954,57,123,123,Man,angry,middle eastern,26,2,0
2,266,213,205,205,Man,neutral,latino hispanic,27,3,1
0,963,61,124,124,Man,angry,white,25,3,0
2,963,61,124,124,Man,angry,white,25,3,0
0,1188,496,67,67,Man,neutral,white,26,4,1
2,1188,496,67,67,Man,neutral,white,26,4,1
0,419,66,299,299,Man,fear,black,28,5,1
2,419,66,299,299,Man,fear,black,28,5,1
0,194,189,222,222,Man,angry,latino hispanic,31,6,0
2,194,189,222,222,Man,angry,latino hispanic,31,6,0
0,1008,64,124,124,Man,angry,middle eastern,29,7,0
2,1008,64,124,124,Man,angry,middle eastern,29,7,0
0,1017,62,126,126,Man,angry,middle eastern,34,8,0
2,1017,62,126,126,Man,angry,middle eastern,34,8,0
0,1025,58,129,129,Man,angry,middle eastern,29,9,1
2,1025,58,129,129,Man,angry,middle eastern,29,9,1
0,102,421,101,101,Man,neutral,white,24,10,1
2,102,421,101,101,Man,neutral,white,24,10,1
3,121,150,238,238,Man,neutral,indian,33,11,0
0,1037,49,127,127,Man,angry,middle eastern,28,11,0
2,1037,49,127,127,Man,angry,middle eastern,28,11,0
0,1045,47,121,121,Man,angry,middle eastern,26,12,0
2,1045,47,121,121,Man,angry,middle eastern,26,12,0
4,119,159,243,243,Man,neutral,indian,32,13,0
0,1042,42,128,128,Man,angry,middle eastern,28,13,0
2,1042,42,128,128,Man,angry,middle eastern,28,13,0
0,1046,41,127,127,Man,angry,middle eastern,27,14,0
2,1046,41,127,127,Man,angry,middle eastern,27,14,0
0,1047,42,127,127,Man,angry,middle eastern,27,15,0
2,1047,42,127,127,Man,angry,middle eastern,27,15,0
0,1047,46,129,129,Man,angry,middle eastern,27,16,0
2,1047,46,129,129,Man,angry,middle eastern,27,16,0
0,1049,52,125,125,Man,angry,middle eastern,26,17,0
2,1049,52,125,125,Man,angry,middle eastern,26,17,0
0,1047,58,126,126,Man,angry,white,27,18,0
2,1047,58,126,126,Man,angry,white,27,18,0
0,1045,64,126,126,Man,angry,white,26,19,0
2,1045,64,126,126,Man,angry,white,26,19,0
2,208,177,245,245,Man,fear,latino hispanic,31,20,0
3,208,177,245,245,Man,fear,latino hispanic,31,20,0
