Customer ID,X,Y,W,H,Gender,Race,Emotion,Age,Frame No,Suspecious
0,82,2,211,211,Man,sad,asian,25,1,0
0,1051,94,150,150,Man,neutral,white,25,10,0
1,1051,94,150,150,Man,neutral,white,25,10,0
0,365,137,120,120,Man,neutral,asian,27,10,0
0,152,5,231,231,Man,sad,asian,26,11,0
1,152,5,231,231,Man,sad,asian,26,11,0
2,152,5,231,231,Man,sad,asian,26,11,0
0,1051,120,153,153,Man,angry,white,25,12,0
0,161,6,253,253,Man,happy,middle eastern,37,12,0
1,161,6,253,253,Man,happy,middle eastern,37,12,0
2,161,6,253,253,Man,happy,middle eastern,37,12,0
3,161,6,253,253,Man,happy,middle eastern,37,12,0
0,1041,133,163,163,Man,neutral,indian,28,13,1
0,174,6,251,251,Man,neutral,asian,27,13,0
1,174,6,251,251,Man,neutral,asian,27,13,0
2,174,6,251,251,Man,neutral,asian,27,13,0
0,1029,141,173,173,Man,sad,black,27,14,1
0,196,6,244,244,Man,neutral,asian,26,14,0
1,196,6,244,244,Man,neutral,asian,26,14,0
2,196,6,244,244,Man,neutral,asian,26,14,0
0,1024,143,175,175,Man,angry,black,26,15,0
1,1024,143,175,175,Man,angry,black,26,15,0
2,1024,143,175,175,Man,angry,black,26,15,0
3,1024,143,175,175,Man,angry,black,26,15,0
4,1024,143,175,175,Man,angry,black,26,15,0
0,1020,140,170,170,Man,sad,indian,26,16,0
1,1020,140,170,170,Man,sad,indian,26,16,0
2,1020,140,170,170,Man,sad,indian,26,16,0
3,1020,140,170,170,Man,sad,indian,26,16,0
0,1013,130,174,174,Man,sad,indian,27,17,0
1,1013,130,174,174,Man,sad,indian,27,17,0
2,1013,130,174,174,Man,sad,indian,27,17,0
3,1013,130,174,174,Man,sad,indian,27,17,0
0,1009,118,178,178,Man,neutral,indian,28,18,0
1,1009,118,178,178,Man,neutral,indian,28,18,0
2,1009,118,178,178,Man,neutral,indian,28,18,0
3,1009,118,178,178,Man,neutral,indian,28,18,0
4,1009,118,178,178,Man,neutral,indian,28,18,0
5,1009,118,178,178,Man,neutral,indian,28,18,0
0,1011,109,175,175,Man,sad,indian,26,19,0
1,1011,109,175,175,Man,sad,indian,26,19,0
2,1011,109,175,175,Man,sad,indian,26,19,0
3,1011,109,175,175,Man,sad,indian,26,19,0
0,1013,96,175,175,Man,neutral,indian,25,20,0
1,1013,96,175,175,Man,neutral,indian,25,20,0
2,1013,96,175,175,Man,neutral,indian,25,20,0
3,1013,96,175,175,Man,neutral,indian,25,20,0
0,1017,88,175,175,Man,neutral,indian,25,21,0
1,1017,88,175,175,Man,neutral,indian,25,21,0
2,1017,88,175,175,Man,neutral,indian,25,21,0
3,1017,88,175,175,Man,neutral,indian,25,21,0
0,1022,82,179,179,Man,neutral,indian,26,22,0
1,1022,82,179,179,Man,neutral,indian,26,22,0
2,1022,82,179,179,Man,neutral,indian,26,22,0
3,1022,82,179,179,Man,neutral,indian,26,22,0
4,1022,82,179,179,Man,neutral,indian,26,22,0
0,1032,86,176,176,Man,sad,indian,25,23,0
1,1032,86,176,176,Man,sad,indian,25,23,0
2,1032,86,176,176,Man,sad,indian,25,23,0
3,1032,86,176,176,Man,sad,indian,25,23,0
0,1041,99,170,170,Man,neutral,indian,26,24,0
1,1041,99,170,170,Man,neutral,indian,26,24,0
2,1041,99,170,170,Man,neutral,indian,26,24,0
3,1041,99,170,170,Man,neutral,indian,26,24,0
0,1043,110,176,176,Man,neutral,indian,26,25,0
0,1053,126,173,173,Man,neutral,indian,27,26,0
0,1059,135,177,177,Man,neutral,indian,28,27,0
0,1065,133,185,185,Man,neutral,black,29,28,0
1,1065,133,185,185,Man,neutral,black,29,28,0
2,1065,133,185,185,Man,neutral,black,29,28,0
3,1065,133,185,185,Man,neutral,black,29,28,0
0,1076,129,182,182,Man,neutral,indian,29,29,0
1,1076,129,182,182,Man,neutral,indian,29,29,0
2,1076,129,182,182,Man,neutral,indian,29,29,0
3,1076,129,182,182,Man,neutral,indian,29,29,0
0,1083,117,179,179,Man,neutral,black,28,30,0
1,1083,117,179,179,Man,neutral,black,28,30,0
2,1083,117,179,179,Man,neutral,black,28,30,0
3,1083,117,179,179,Man,neutral,black,28,30,0
0,1087,102,178,178,Man,neutral,indian,30,31,0
0,1088,82,176,176,Man,neutral,indian,30,32,0
0,1081,62,181,181,Man,neutral,indian,27,33,0
0,1068,45,191,191,Man,neutral,indian,28,34,0
0,1061,42,192,192,Man,neutral,black,31,35,0
1,1061,42,192,192,Man,neutral,black,31,35,0
2,1061,42,192,192,Man,neutral,black,31,35,0
3,1061,42,192,192,Man,neutral,black,31,35,0
0,1052,47,193,193,Man,neutral,indian,29,36,0
0,1047,66,183,183,Man,neutral,black,31,37,0
