Frame Count,Customer ID,Spend Time,Gender,Emotion,Race,Age,Suspecious
361,0,14.44,Man,neutral,indian,26,1
347,1,13.88,Man,neutral,indian,26,1
290,2,11.6,Man,neutral,indian,25,1
281,3,11.24,Man,neutral,indian,25,1
257,4,10.28,Man,neutral,indian,27,1
249,5,9.96,Man,neutral,indian,27,1
228,6,9.12,Man,neutral,indian,27,1
163,7,6.52,Man,neutral,indian,27,0
161,8,6.44,Man,neutral,indian,27,0
150,9,6.0,Man,neutral,indian,27,0
146,10,5.84,Man,neutral,indian,27,0
138,11,5.52,Man,neutral,indian,27,0
133,12,5.32,Man,neutral,indian,27,0
132,13,5.28,Man,neutral,indian,27,0
127,14,5.08,Man,neutral,indian,27,0
108,15,4.32,Man,neutral,indian,27,0
107,16,4.28,Man,neutral,indian,27,0
106,17,4.24,Man,neutral,indian,27,0
93,18,3.72,Man,neutral,indian,27,0
92,19,3.68,Man,neutral,indian,27,0
91,20,3.64,Man,neutral,indian,27,0
77,21,3.08,Man,neutral,indian,28,0
63,22,2.52,Man,neutral,indian,28,0
61,23,2.44,Man,neutral,indian,28,0
60,24,2.4,Man,neutral,indian,28,0
57,25,2.28,Man,neutral,indian,28,0
56,26,2.24,Man,neutral,indian,28,0
55,27,2.2,Man,neutral,indian,28,0
54,28,2.16,Man,neutral,indian,28,0
52,29,2.08,Man,angry,indian,28,0
39,30,1.56,Man,angry,indian,28,0
38,31,1.52,Man,angry,indian,28,0
37,32,1.48,Man,angry,indian,28,0
17,33,0.68,Man,sad,indian,27,0
7,34,0.28,Man,angry,white,31,0
5,35,0.2,Man,angry,indian,27,0
4,36,0.16,Man,angry,indian,31,0
3,37,0.12,Man,sad,indian,28,0
2,38,0.08,Man,neutral,white,23,0
1,39,0.04,Man,angry,indian,34,0
